"id","min_datetime","max_datetime","variable","n_obs","n","mean","median","min","q01","q25","q75","q99","max"
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"Ref_Fuel",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"Ref_Fuel",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"Ref_Fuel",114323,111449,117.649,104.23,0,17.32,88.07,139.99,236.12,260.76
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"Ref_Fuel",172829,162925,73.1743,51.53,0,8.34,32.01,113.45,227.29,284.96
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"Ref_Fuel",206389,201979,91.55,81.05,0,7.14,64.99,108.71,239.5,276.38
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"Ref_Fuel_turb",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"Ref_Fuel_turb",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"Ref_Fuel_turb",114323,111794,136.924,129.388,0,18.5332,111.83,154.481,255.327,281.643
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"Ref_Fuel_turb",172829,163125,120.08,82.1244,0,13.4027,63.9164,140.514,1190.77,1479.59
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"Ref_Fuel_turb",206389,202562,119.001,113.366,0,8.04445,94.4309,138.423,293.587,339.488
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"Ref_Fuel_wt",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"Ref_Fuel_wt",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"Ref_Fuel_wt",114323,111794,106.358,93.8674,0,15.574,78.4152,127.288,219.591,242.498
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"Ref_Fuel_wt",172829,163125,64.8254,46.0719,0,7.44945,28.4648,99.4561,203.815,256.487
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"Ref_Fuel_wt",206389,202562,90.9497,81.9893,0,6.9413,65.6403,108.69,230.45,266.591
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"Temp_C6P",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"Temp_C6P",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"Temp_C6P",114323,111794,12.2781,12.41,8.15,8.29,10.92,13.45,16.88,18.42
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"Temp_C6P",172829,163123,10.3149,9.84,4.76,6.48,9.15,11.58,14.69,17.14
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"Temp_C6P",206389,202562,24.8629,25.59,20.01,20.16,22.32,26.85,28.32,29.99
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"Turb_C6P",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"Turb_C6P",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"Turb_C6P",114323,111665,15.9908,12.96,1.46,2.3,6.22,24.35,43.7008,299.47
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"Turb_C6P",172829,162852,56.9064,37.77,0,1.08,14.34,59.09,384.8,428.48
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"Turb_C6P",206389,202035,17.816,12.58,0.06,0.24,8.29,25.01,65.61,150.57
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"abs254",129316,6166,0.145071,0.1055,-0.099,-0.098,0.035,0.231,0.65735,0.955
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"abs254",132320,6721,0.0641799,0.048,-0.092,-0.089,-0.006,0.133,0.2936,0.774
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"abs254",114323,9680,-0.041398,-0.049,-0.156,-0.152,-0.072,-0.00675,0.077,0.139
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"abs254",172829,14553,0.327185,0.296,0.022,0.033,0.139,0.381,0.95748,1.847
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"abs254",206389,13318,0.197991,0.188,0.036,0.038,0.145,0.26,0.466,0.689
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"abs350",129316,6157,0.0556812,0.025,-0.105,-0.104,-0.029,0.117,0.394,9
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"abs350",132320,6717,0.0097015,-0.006,-0.09,-0.088,-0.049,0.048,0.24852,18
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"abs350",114323,9682,-0.104763,-0.11,-0.159,-0.155,-0.13,-0.084,-0.023,0.08
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"abs350",172829,14551,0.18525,0.159,-0.024,-0.0175,0.04,0.238,0.6295,1.263
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"abs350",206389,13313,0.101895,0.086,0.004,0.006,0.054,0.148,0.32288,0.543
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"barom_mmHg",129316,121275,744.971,747.677,238.542,740.278,743.425,751.637,754.526,1029.72
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"barom_mmHg",132320,132320,752.793,753.342,744.04,745.656,750.788,754.286,758.683,778.074
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"barom_mmHg",114323,111677,752.815,752.86,744.39,744.652,747.5,757.172,760.127,777.019
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"barom_mmHg",172829,167488,741.633,741.832,728.422,731.72,736.462,746.44,751.878,780.366
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"barom_mmHg",206389,200639,743.49,742.623,737.281,738.147,741.218,745.971,748.344,750.166
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"cdom_volt",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"cdom_volt",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"cdom_volt",114323,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"cdom_volt",172829,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"cdom_volt",206389,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"chlor_RFU",129316,128729,3.02822,2.82,-1.2,-1.2,1.81,3.73,9.172,24.89
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"chlor_RFU",132320,131727,3.5432,2.88,-1.2,-0.11,1.25,4.92,14.9,31.24
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"chlor_RFU",114323,112748,1.78392,1.39,0.1,0.21,0.71,2.11,11.4012,26.02
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"chlor_RFU",172829,169904,2.82381,2.55,0.01,0.09,1.76,3.55,13.42,22.12
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"chlor_RFU",206389,202416,3.43723,2.3,-0.39,-0.31,0.6,3.82,29.75,43.51
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"chlor_ugL",129316,128733,12.2808,11.45,-4.69,-4.67,7.4,15.1,36.9088,100
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"chlor_ugL",132320,131726,14.346,11.67,-4.69,-0.32,5.15,19.85,59.9175,125.5
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"chlor_ugL",114323,112750,7.28882,5.73,0.52,0.99,2.99,8.6,45.8716,104.5
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"chlor_ugL",172829,169902,11.4601,10.37,0.17,0.51,7.21,14.35,53.9699,88.9
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"chlor_ugL",206389,202418,13.5255,8.94,-1.93,-1.61,2.07,15.06,119.8,175.3
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"course",129316,129316,196.407,210.9,0,7.5,151.1,253.5,353.2,359.9
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"course",132320,132320,198.193,212.8,0,11.5,156,255.4,351.881,359.9
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"course",114323,114323,196.894,210.2,0,5.8,158,253.4,354.1,359.9
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"course",172829,172829,194.774,206.8,0,4.6,133.6,262.2,355.1,359.9
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"course",206389,206389,186.796,197.5,0,2.8,107.7,257.6,355.5,359.9
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"depth",129316,14404,7.50673,7.43,2.85,3.51,6.43,8.11,12.87,14.84
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"depth",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"depth",114323,92831,4.25674,4.22,0.36,0.62,3.13,5.21,11.11,14.9
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"depth",172829,149041,5.14193,5.39,0.26,0.94,3.55,6.65,12.03,15.61
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"depth",206389,177365,4.6011,4.29,0.29,0.77,3.38,5,13.91,14.89
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"extPower",129316,128876,11.206,11.22,10.7,10.84,11.04,11.31,12.78,12.87
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"extPower",132320,131879,13.2664,13.42,11.64,11.88,13.31,13.5,13.61,13.67
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"extPower",114323,113906,13.3873,13.53,11.54,11.86,13.46,13.58,13.63,13.65
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"extPower",172829,172195,11.3615,11.36,10.68,10.86,11.12,11.48,12.8,12.97
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"extPower",206389,205641,11.3672,11.35,10.56,10.95,11.27,11.47,11.75,11.9
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"fDOM_QSU",129316,128845,31.0063,36.27,-1.49,-1.03,16.12,44.51,84.7,90.7
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"fDOM_QSU",132320,131665,55.4608,57.3,0.15,1.5264,51.76,63.71,80.8,134.7
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"fDOM_QSU",114323,112772,62.2027,56.25,3.11,3.24,47.28,77.17,112.2,123.7
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"fDOM_QSU",172829,170266,52.3999,49.13,1.4,17.79,38.63,65.03,102.7,110.8
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"fDOM_QSU",206389,202446,61.1812,58.69,-0.23,0.18,50.3,83,136.7,147.9
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"fDOM_RFU",129316,68710,14.5367,14.31,1.13,1.19,12.53,17.19,29.34,30.36
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"fDOM_RFU",132320,131664,18.5183,19.14,-0.05,0.41,17.28,21.29,27.02,45.11
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"fDOM_RFU",114323,112772,20.7808,18.78,0.95,0.99,15.77,25.81,37.55,41.41
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"fDOM_RFU",172829,170266,17.4907,16.39,0.37,5.8765,12.87,21.73,34.39,37.1
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"fDOM_RFU",206389,202447,20.4408,19.61,-0.01,0.12,16.82,27.71,45.6,49.34
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"latitude",129316,129316,40.7759,41.317,38.8618,38.8701,40.1277,41.5033,41.8919,41.8978
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"latitude",132320,132320,40.8502,41.3198,38.862,38.8688,40.2234,41.5062,41.8931,41.8979
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"latitude",114323,114323,40.8177,41.2506,38.88,38.9216,40.3057,41.3989,41.8941,41.8979
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"latitude",172829,172829,40.8588,41.3224,38.7945,38.82,40.1628,41.6962,42.0749,42.075
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"latitude",206389,206389,40.9384,41.3255,38.7953,38.825,40.3061,41.6962,42.0597,42.0748
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"longitude",129316,129316,-89.1681,-89.0678,-90.671,-90.6665,-90.3008,-88.1034,-87.6101,-87.6086
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"longitude",132320,132320,-89.1039,-88.992,-90.6462,-90.6196,-90.1362,-88.0991,-87.5921,-87.5916
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"longitude",114323,114323,-89.1883,-89.3332,-90.6458,-90.6175,-90.0698,-88.2778,-87.5944,-87.5914
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"longitude",172829,172829,-89.03,-88.9816,-90.6461,-90.6145,-90.1226,-87.9495,-87.6089,-87.6082
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"longitude",206389,206389,-88.9033,-88.8338,-90.6463,-90.6127,-90.0692,-87.7042,-87.5058,-87.4922
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"pH",129316,128876,7.90321,7.98,6.96,7.09,7.64,8.17,8.59,8.73
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"pH",132320,131879,8.06436,8.06,7.27,7.33,7.77,8.28,9.09,9.22
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"pH",114323,112775,8.06211,8.19,7.04,7.13,8.09,8.22,8.67,8.8
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"pH",172829,170270,7.89201,8.06,6.86,6.98,7.64,8.12,8.51,8.63
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"pH",206389,202452,7.98726,7.99,7.07,7.14,7.74,8.21,9.1,9.36
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"peakT_volt",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"peakT_volt",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"peakT_volt",114323,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"peakT_volt",172829,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"peakT_volt",206389,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"pressure",129316,128876,0,0,0,0,0,0,0,0
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"pressure",132320,131879,0,0,0,0,0,0,0,0
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"pressure",114323,113906,0,0,0,0,0,0,0,0
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"pressure",172829,172195,0,0,0,0,0,0,0,0
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"pressure",206389,205641,0,0,0,0,0,0,0,0
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"specCond",129316,128875,767.708,778.6,170.3,284,668.6,841,1139,1418
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"specCond",132320,131877,631.715,679.4,250.2,256.8,574.6,722.9,861,897
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"specCond",114323,112772,751.636,799.5,273,273.8,713.8,845,922,927
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"specCond",172829,170270,860.847,766.9,312.4,467.2,712,1125,1464,1483
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"specCond",206389,202452,632.965,694.4,288.7,290.9,534,718.9,958,1025
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"speed",129316,129316,11.1376,6.6,0,0,1.5,24.1,30.9,33.1
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"speed",132320,132320,10.2346,5.9,0,0,1,23.6,28.6,32.3
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"speed",114323,114323,9.30122,6.1,0,0,1.1,17.4,26.7,30.5
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"speed",172829,172829,8.55658,4.8,0,0,0.5,15.1,28.8,31.9
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"speed",206389,206389,8.3691,4.4,0,0,0.6,11.3,28.9,32.5
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"temp",129316,128876,13.0489,13,9.77,9.87,12.32,13.84,14.8,18.98
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"temp",132320,131879,26.9109,27.79,13.59,15.0378,26.3,28.51,29.83,31.26
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"temp",114323,112775,12.4391,12.56,8.26,8.48,11.08,13.53,17.09,19.46
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"temp",172829,170270,10.2884,9.79,4.726,6.5,9.15,11.43,14.9,17.27
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"temp",206389,202453,25.4207,26.14,20.56,20.7,22.82,27.44,28.9,30.62
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"temp_int",129316,6157,15.2976,15.3,7.9,8.1,13.7,16.4,23,23.4
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"temp_int",132320,6711,27.6688,28,20.9,22.7,25.6,29.9,30.9,31.1
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"temp_int",114323,9691,13.7709,15.6,5.2,5.3,8.8,17.9,21.2,21.2
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"temp_int",172829,14566,17.2455,17,5.2,7.1,12.6,21.9,28.1,29.9
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"temp_int",206389,13336,28.1032,27.8,22,23.2,26.6,29.8,35.1,35.2
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"temp_lamp",129316,6157,16.5113,15.9,7.4,7.9,14.9,17.4,24.8,24.9
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"temp_lamp",132320,6711,28.4612,29.1,22.2,22.4,27.3,30.2,31.8,32
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"temp_lamp",114323,9691,14.9798,16.6,7.2,7.6,10.6,18.7,21.2,21.4
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"temp_lamp",172829,14566,20.0638,20.1,9.7,12.265,16.6,23.4,28.6,32.1
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"temp_lamp",206389,13336,30.3964,30.5,25.1,26.1,29.2,32,34.5,35.5
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"temp_logger",129316,126297,18.3144,17.6555,10.9056,12.0644,16.3779,19.6428,27.0226,27.3646
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"temp_logger",132320,131158,28.7544,29.3878,21.3629,22.5752,27.4044,30.4844,32.0296,32.1906
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"temp_logger",114323,113344,16.2285,15.5049,4.96979,5.65348,10.52,20.8371,28.4703,28.5213
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"temp_logger",172829,171547,18.6843,18.9544,4.36441,6.64621,14.1216,22.1489,32.7817,33.1468
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"temp_logger",206389,205468,30.3401,30.6598,21.6487,23.0731,28.3066,32.7692,35.5545,35.707
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"temp_spect",129316,6157,14.4714,14.5,6.4,6.8,12.9,15.6,21.8,22.2
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"temp_spect",132320,6711,26.6336,26.9,21.1,22.1,24.6,28.9,29.8,30
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"temp_spect",114323,9691,12.8542,14.7,4.4,4.5,7.8,16.9,20.2,20.3
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"temp_spect",172829,14566,17.1262,17,5.6,6.9,12.4,21.9,27.6,29.2
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"temp_spect",206389,13336,27.7683,27.5,22.8,23.2,26.3,29.2,34.6,34.7
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"turb_FNU",129316,50584,70.5381,56.45,0,15.4,36.11,101.5,173.7,214.8
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"turb_FNU",132320,93453,24.1937,25.4,3.98,5.1,12.55,32.25,66.6148,243.2
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"turb_FNU",114323,112762,18.0762,15.81,1.62,3.11,8.85,26.16,48.67,387.9
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"turb_FNU",172829,170252,61.8471,46.48,1.3,1.57,14.2,77.22,386.149,423.4
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"turb_FNU",206389,202418,20.4101,14.52,0.69,0.82,9.54,28.25,75.1566,177.8
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"water_temp",129316,58810,10.6551,8.76,8.76,8.76,8.76,13.02,13.91,13.91
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"water_temp",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"water_temp",114323,114323,11.5225,11.62,6.64,6.64,10.58,12.4,16.26,19.23
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"water_temp",172829,172829,9.25146,8.93,5,5.59,8.22,10.29,15.77,15.77
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"water_temp",206389,205907,24.4377,25.17,19.77,19.87,21.99,26.66,27.94,29.73
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"wiperPos",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"wiperPos",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"wiperPos",114323,113906,1.18018,1.18,0.67,1.17,1.18,1.18,1.19,1.72
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"wiperPos",172829,172195,1.17791,1.18,0.66,1.17,1.17,1.18,1.19,1.72
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"wiperPos",206389,205641,1.17904,1.18,0.68,1.17,1.18,1.18,1.19,1.73
